r_label,r_over_eps,a_median_partner,a_heaviest_partner,pct_samples_below_a_median
3 eps,3.0000,2.635231e+03,1.976424e+04,79.9227
2 eps,2.0000,4.969040e+03,3.726780e+04,86.1312
1 eps,1.0000,9.820928e+03,7.365696e+04,95.4748
eps/sqrt2 (peak),0.7071,1.069167e+04,8.018754e+04,95.6668
0.5 eps,0.5000,9.938080e+03,7.453560e+04,95.5248
0.2 eps,0.2000,5.238145e+03,3.928608e+04,86.4099

percentile,value
1,4.416414e-04
10,2.235098e-03
25,1.721683e-02
50,4.685955e-01
75,1.367983e+02
90,6.846963e+03
99,3.438896e+04
99.9,5.966335e+04
99.99,7.557047e+04
100,8.018607e+04
