r_label,r_over_eps,a_median_partner,a_heaviest_partner,pct_samples_below_a_median
3 eps,3.0000,2.635231e+03,1.976424e+04,96.9632
2 eps,2.0000,4.969040e+03,3.726780e+04,98.2930
1 eps,1.0000,9.820928e+03,7.365696e+04,99.2098
eps/sqrt2 (peak),0.7071,1.069167e+04,8.018754e+04,99.2958
0.5 eps,0.5000,9.938080e+03,7.453560e+04,99.2233
0.2 eps,0.2000,5.238145e+03,3.928608e+04,98.3882

percentile,value
1,7.821748e-04
10,1.058169e-02
25,1.850825e-01
50,3.403355e+00
75,2.446321e+01
90,1.551458e+02
99,8.196694e+03
99.9,2.813578e+04
99.99,5.345045e+04
100,8.011728e+04
