run,split,N,mass_ratio,Q_tag,Q_soft,Q_unsoft,amp_factor,old_metric,new_metric,old_fail,conv_residual,dt,h_over_tcrossE,h_over_tcrossU,max_n_sub,force_evals,min_sep,min_sep_over_eps,jump_share,n_snapshots
cluster_01000.h5,train,3,1,0.341711,0.341714,0.341711,0.829143,0.000272459,0.000225907,False,0,0.01,0.00999985,0.0132449,720,527187,0.0053439,2.67195,0.324623,103
cluster_01001.h5,train,3,1,0.428307,0.428311,0.428307,0.785845,0.000698206,0.000548681,False,0,0.01,0.00999986,0.0143545,755,497502,0.00331117,1.65558,0.124768,110
cluster_01002.h5,train,3,1,0.497675,0.497681,0.497675,0.75116,3.70541e-06,2.78335e-06,False,0,0.01,0.00999978,0.01536,533,550476,0.0551484,27.5742,0.0540345,100
cluster_01003.h5,train,3,1,0.55626,0.556265,0.55626,0.721867,0.000840425,0.000606676,False,1.78712e-16,0.01,0.0099998,0.0163044,765,424962,0.00293518,1.46759,0.292549,105
cluster_01004.h5,train,3,1,0.662301,0.662326,0.662301,0.668837,7.03339e-06,4.70419e-06,False,0,0.01,0.00999915,0.0182803,382,521004,0.0319973,15.9986,0.0458878,100
cluster_01005.h5,train,3,1,1.11528,1.11531,1.11528,0.442343,2.27538e-06,1.0065e-06,False,2.10391e-16,0.01,0.00999906,0.0339876,457,597972,0.0899656,44.9828,0.0467838,100
cluster_01006.h5,train,3,1,1.20252,1.20256,1.20252,0.398718,3.07149e-06,1.22466e-06,False,0,0.01,0.00999874,0.0397143,269,477501,0.0577206,28.8603,0.0667826,100
cluster_01007.h5,train,3,1,1.32029,1.32035,1.32029,0.339826,0.000339672,0.000115429,False,1.1741e-16,0.01,0.00999821,0.0504705,755,602292,0.00501525,2.50763,0.0115088,280
cluster_01008.h5,train,3,1,1.38413,1.3842,1.38413,0.307898,0.000629447,0.000193805,False,1.39857e-16,0.01,0.00999751,0.058517,774,684096,0.00378146,1.89073,0.00501575,389
cluster_01009.h5,train,3,1,1.4891,1.48924,1.4891,0.255382,1.43414e-06,3.66254e-07,False,0,0.01,0.00999452,0.0774422,185,727824,0.071782,35.891,0.0301739,100
cluster_01010.h5,train,3,3,0.36443,0.364434,0.36443,0.817783,5.82891e-06,4.76679e-06,False,1.77695e-16,0.01,0.00999979,0.0135218,565,631461,0.0542345,27.1173,0.117522,100
cluster_01011.h5,train,3,3,0.39987,0.399875,0.39987,0.800062,0.00455383,0.00364334,False,1.19034e-16,0.01,0.00999975,0.0139734,986,747462,0.000685922,0.342961,0.0227486,310
cluster_01012.h5,train,3,3,0.475189,0.475197,0.475189,0.762401,3.91141e-05,2.98207e-05,False,0,0.01,0.00999963,0.0150213,904,682542,0.0191406,9.57028,0.1308,100
cluster_01013.h5,train,3,3,0.61872,0.618728,0.61872,0.690636,1.82351e-06,1.25938e-06,False,0,0.01,0.0099997,0.0174226,829,577365,0.0918953,45.9477,0.0573364,100
cluster_01014.h5,train,3,3,0.6736,0.673611,0.6736,0.663195,0.000810631,0.000537606,False,0,0.01,0.00999964,0.018515,904,688632,0.00249994,1.24997,0.209097,107
cluster_01015.h5,train,3,3,1.12243,1.12247,1.12243,0.438766,4.21757e-06,1.85053e-06,False,0,0.01,0.00999886,0.0344034,642,617019,0.0419794,20.9897,0.0715134,100
cluster_01016.h5,train,3,3,1.19631,1.1964,1.19631,0.401801,1.65649e-05,6.65581e-06,False,0,0.01,0.00999736,0.0392526,632,555216,0.01446,7.23002,0.316038,100
cluster_01017.h5,train,3,3,1.31001,1.31008,1.31001,0.344961,0.00355185,0.00122525,False,0,0.01,0.00999757,0.0493446,949,514953,0.000875773,0.437887,0.0618227,151
cluster_01018.h5,train,3,3,1.39221,1.39231,1.39221,0.303847,7.91072e-06,2.40365e-06,False,0,0.01,0.00999656,0.0596853,491,1214259,0.0332262,16.6131,0.124843,100
cluster_01019.h5,train,3,3,1.4919,1.49208,1.4919,0.253959,7.03312e-07,1.78613e-07,False,2.96393e-16,0.01,0.00999301,0.0780818,191,836910,0.0935464,46.7732,0.0219123,100
cluster_01020.h5,train,3,7,0.377981,0.377994,0.377981,0.811003,0.00111541,0.000904597,False,1.19855e-16,0.01,0.00999937,0.0136911,1083,1017933,0.00149877,0.749384,0.0102166,354
cluster_01021.h5,train,3,7,0.392315,0.392325,0.392315,0.803837,0.00212417,0.00170748,False,0,0.01,0.00999949,0.0138748,1070,957462,0.000911861,0.45593,0.142947,124
cluster_01022.h5,train,3,7,0.515927,0.515946,0.515927,0.742027,0.000125124,9.28451e-05,False,1.45969e-16,0.01,0.00999926,0.0156437,1057,1088478,0.00532325,2.66163,0.108401,115
cluster_01023.h5,train,3,7,0.575779,0.575807,0.575779,0.712097,4.73363e-05,3.3708e-05,False,0,0.01,0.00999899,0.0166398,863,1114902,0.00381484,1.90742,0.144329,105
cluster_01024.h5,train,3,7,0.621401,0.62142,0.621401,0.68929,0.00057289,0.000394888,False,1.3728e-16,0.01,0.00999932,0.017473,1082,1129734,0.00227282,1.13641,0.0132994,224
cluster_01025.h5,train,3,7,1.12328,1.12337,1.12328,0.438314,2.26808e-06,9.9413e-07,False,0,0.01,0.00999723,0.034451,610,1286667,0.0572468,28.6234,0.0352386,100
cluster_01026.h5,train,3,7,1.2105,1.21066,1.2105,0.394668,5.83862e-05,2.30432e-05,False,0,0.01,0.00999485,0.0403114,1057,1987494,0.00783613,3.91807,0.0929014,100
cluster_01027.h5,train,3,7,1.28568,1.28583,1.28568,0.357084,0.00165864,0.000592274,False,1.83057e-16,0.01,0.00999513,0.0468417,1081,903441,0.00111862,0.55931,0.0553807,161
cluster_01028.h5,train,3,7,1.4154,1.41565,1.4154,0.292175,1.16222e-05,3.3957e-06,False,1.24721e-16,0.01,0.00999107,0.0632626,759,1511412,0.0205847,10.2924,0.0501591,100
cluster_01029.h5,train,3,7,1.47621,1.4766,1.47621,0.261699,8.72646e-06,2.28371e-06,False,1.85451e-16,0.01,0.00998492,0.0745833,737,1237827,0.0222309,11.1155,0.0681283,100
cluster_01030.h5,train,3,10,0.310916,0.310927,0.310916,0.844536,0.000128369,0.000108412,False,0,0.01,0.00999936,0.0128838,1108,1314753,0.00455752,2.27876,0.0649666,124
