run,split,N,mass_ratio,Q_tag,Q_soft,Q_unsoft,amp_factor,old_metric,new_metric,old_fail,conv_residual,dt,h_over_tcrossE,h_over_tcrossU,max_n_sub,force_evals,min_sep,min_sep_over_eps,jump_share,n_snapshots
cluster_01000.h5,train,3,1,0.341711,0.341714,0.341711,0.829143,0.000134461,0.000111487,False,1.21561e-16,0.01,0.00999985,0.0132449,180,160239,0.0553503,27.6752,0.0609184,100
cluster_01001.h5,train,3,1,0.428307,0.428311,0.428307,0.785845,0.0280849,0.0220704,False,0,0.01,0.00999986,0.0143545,184,100860,0.015324,7.66199,0.413521,100
cluster_01002.h5,train,3,1,0.497675,0.497681,0.497675,0.75116,0.000245457,0.000184378,False,0,0.01,0.00999978,0.01536,143,108288,0.0235457,11.7728,0.135516,100
cluster_01003.h5,train,3,1,0.55626,0.556265,0.55626,0.721867,0.000528901,0.000381796,False,1.41987e-16,0.01,0.0099998,0.0163044,188,101079,0.0183809,9.19043,0.145219,100
cluster_01004.h5,train,3,1,0.662301,0.662326,0.662301,0.668837,0.000138117,9.23778e-05,False,0,0.01,0.00999915,0.0182803,97,132396,0.0331975,16.5988,0.0507942,100
cluster_01005.h5,train,3,1,1.11528,1.11531,1.11528,0.442343,4.16623e-05,1.8429e-05,False,0,0.01,0.00999906,0.0339876,115,150114,0.0919168,45.9584,0.0542035,100
cluster_01006.h5,train,3,1,1.20252,1.20256,1.20252,0.398718,5.71521e-05,2.27876e-05,False,0,0.01,0.00999874,0.0397143,90,113799,0.0491359,24.568,0.0685326,100
cluster_01007.h5,train,3,1,1.32029,1.32035,1.32029,0.339826,0.00413324,0.00140458,False,1.54381e-16,0.01,0.00999821,0.0504705,190,149388,0.0163346,8.1673,0.139323,100
cluster_01008.h5,train,3,1,1.38413,1.3842,1.38413,0.307898,0.0024092,0.000741787,False,1.46161e-16,0.01,0.00999751,0.058517,185,165684,0.00775296,3.87648,0.146605,100
cluster_01009.h5,train,3,1,1.4891,1.48924,1.4891,0.255382,3.04095e-05,7.76603e-06,False,0,0.01,0.00999452,0.0774422,47,184077,0.071711,35.8555,0.0302685,100
cluster_01010.h5,train,3,3,0.36443,0.364434,0.36443,0.817783,0.00261169,0.00213579,False,0,0.01,0.00999979,0.0135218,212,138306,0.0107158,5.35789,0.4478,100
cluster_01011.h5,train,3,3,0.39987,0.399875,0.39987,0.800062,0.00615154,0.00492161,False,0,0.01,0.00999975,0.0139734,229,133689,0.0144841,7.24203,0.80383,100
cluster_01012.h5,train,3,3,0.475189,0.475197,0.475189,0.762401,0.000499173,0.00038057,False,0,0.01,0.00999963,0.0150213,224,172890,0.0163399,8.16996,0.111816,100
cluster_01013.h5,train,3,3,0.61872,0.618728,0.61872,0.690636,0.000109212,7.54254e-05,False,0,0.01,0.0099997,0.0174226,207,158016,0.0630753,31.5377,0.0702428,100
cluster_01014.h5,train,3,3,0.6736,0.673611,0.6736,0.663195,0.00019869,0.00013177,False,2.05699e-16,0.01,0.00999964,0.018515,242,174819,0.0258376,12.9188,0.0906438,100
cluster_01015.h5,train,3,3,1.12243,1.12247,1.12243,0.438766,3.49729e-05,1.53449e-05,False,2.20799e-16,0.01,0.00999886,0.0344034,188,175827,0.0600941,30.047,0.0586485,100
cluster_01016.h5,train,3,3,1.19631,1.1964,1.19631,0.401801,5.00064e-05,2.00926e-05,False,1.68626e-16,0.01,0.00999736,0.0392526,126,141918,0.0503704,25.1852,0.107977,100
cluster_01017.h5,train,3,3,1.31001,1.31008,1.31001,0.344961,0.00182755,0.000630432,False,0,0.01,0.00999757,0.0493446,238,175698,0.0121122,6.05611,0.112553,100
cluster_01018.h5,train,3,3,1.39221,1.39231,1.39221,0.303847,0.000204778,6.22213e-05,False,0,0.01,0.00999656,0.0596853,145,282150,0.0269644,13.4822,0.102702,100
cluster_01019.h5,train,3,3,1.4919,1.49208,1.4919,0.253959,1.21887e-05,3.09545e-06,False,1.36819e-16,0.01,0.00999301,0.0780818,48,211398,0.0935489,46.7745,0.02187,100
cluster_01020.h5,train,3,7,0.377981,0.377994,0.377981,0.811003,0.00105996,0.000859634,False,1.26124e-16,0.01,0.00999937,0.0136911,271,255180,0.0193609,9.68046,0.123124,100
cluster_01021.h5,train,3,7,0.392315,0.392325,0.392315,0.803837,0.000364327,0.000292859,False,0,0.01,0.00999949,0.0138748,267,250134,0.0327175,16.3588,0.0949939,100
cluster_01022.h5,train,3,7,0.515927,0.515946,0.515927,0.742027,0.00396601,0.00294289,False,1.47366e-16,0.01,0.00999926,0.0156437,270,317886,0.00523451,2.61726,0.0844351,105
cluster_01023.h5,train,3,7,0.575779,0.575807,0.575779,0.712097,0.000341728,0.000243344,False,0,0.01,0.00999899,0.0166398,216,305604,0.0139444,6.9722,0.170175,100
cluster_01024.h5,train,3,7,0.621401,0.62142,0.621401,0.68929,0.000408284,0.000281426,False,0,0.01,0.00999932,0.017473,259,276354,0.0291717,14.5859,0.145337,100
cluster_01025.h5,train,3,7,1.12328,1.12337,1.12328,0.438314,0.000829095,0.000363403,False,1.49173e-16,0.01,0.00999723,0.034451,257,287457,0.010222,5.111,0.111807,100
cluster_01026.h5,train,3,7,1.2105,1.21066,1.2105,0.394668,0.00296638,0.00117074,False,0,0.01,0.00999485,0.0403114,265,499251,0.0103806,5.19028,0.0731028,100
cluster_01027.h5,train,3,7,1.28568,1.28583,1.28568,0.357084,6.14675e-05,2.19491e-05,False,0,0.01,0.00999513,0.0468417,260,262836,0.043493,21.7465,0.0952926,100
cluster_01028.h5,train,3,7,1.4154,1.41565,1.4154,0.292175,0.000330832,9.66608e-05,False,0,0.01,0.00999107,0.0632626,190,380121,0.0205417,10.2708,0.0540501,100
cluster_01029.h5,train,3,7,1.47621,1.4766,1.47621,0.261699,0.000260311,6.8123e-05,False,0,0.01,0.00998492,0.0745833,187,315006,0.0210753,10.5377,0.0825893,100
cluster_01030.h5,train,3,10,0.310916,0.310927,0.310916,0.844536,0.0430149,0.0363277,True,0,0.01,0.00999936,0.0128838,277,281991,0.00491851,2.45926,0.283755,103
