threshold,n_fail,rate,rate_Q<0.7,rate_0.7<=Q<1.1,rate_1.1<=Q<1.5,rate_Q>=1.5
0.001,42,0.161538,0.29,0.3,0.0642857,0.1
0.00125893,30,0.115385,0.21,0.3,0.0357143,0.1
0.00158489,21,0.0807692,0.14,0.2,0.0285714,0.1
0.00199526,10,0.0384615,0.07,0,0.0214286,0
0.00251189,6,0.0230769,0.03,0,0.0214286,0
0.00316228,6,0.0230769,0.03,0,0.0214286,0
0.00398107,4,0.0153846,0.01,0,0.0214286,0
0.00501187,3,0.0115385,0,0,0.0214286,0
0.00630957,3,0.0115385,0,0,0.0214286,0
0.00794328,3,0.0115385,0,0,0.0214286,0
0.01,3,0.0115385,0,0,0.0214286,0
0.0125893,2,0.00769231,0,0,0.0142857,0
0.0158489,2,0.00769231,0,0,0.0142857,0
0.0199526,2,0.00769231,0,0,0.0142857,0
0.0251189,1,0.00384615,0,0,0.00714286,0
0.0316228,0,0,0,0,0,0
0.0398107,0,0,0,0,0,0
0.0501187,0,0,0,0,0,0
0.0630957,0,0,0,0,0,0
0.0794328,0,0,0,0,0,0
0.1,0,0,0,0,0,0
