threshold,n_fail,rate,rate_Q<0.7,rate_0.7<=Q<1.1,rate_1.1<=Q<1.5,rate_Q>=1.5
0.001,145,0.557692,0.59,0.6,0.528571,0.6
0.00125893,129,0.496154,0.54,0.5,0.457143,0.6
0.00158489,116,0.446154,0.52,0.5,0.385714,0.5
0.00199526,106,0.407692,0.46,0.5,0.357143,0.5
0.00251189,93,0.357692,0.43,0.3,0.307143,0.4
0.00316228,82,0.315385,0.37,0.2,0.278571,0.4
0.00398107,71,0.273077,0.33,0.2,0.235714,0.3
0.00501187,62,0.238462,0.3,0.2,0.192857,0.3
0.00630957,50,0.192308,0.25,0.1,0.15,0.3
0.00794328,41,0.157692,0.19,0.1,0.128571,0.3
0.01,34,0.130769,0.17,0,0.1,0.3
0.0125893,26,0.1,0.12,0,0.0785714,0.3
0.0158489,23,0.0884615,0.11,0,0.0642857,0.3
0.0199526,21,0.0807692,0.09,0,0.0642857,0.3
0.0251189,16,0.0615385,0.07,0,0.0571429,0.1
0.0316228,14,0.0538462,0.06,0,0.05,0.1
0.0398107,11,0.0423077,0.04,0,0.0428571,0.1
0.0501187,6,0.0230769,0.01,0,0.0357143,0
0.0630957,5,0.0192308,0.01,0,0.0285714,0
0.0794328,4,0.0153846,0.01,0,0.0214286,0
0.1,4,0.0153846,0.01,0,0.0214286,0
