set,scenario,integrator,steps_per_orbit,dt,max_E_drift,final_E_drift,growth_ratio,q,q_n_points,saturated,max_L_drift,force_evals,loop_time
B,circular,euler,400,0.011107207345395916,0.8234306738053863,0.8234306738053863,1.058799709424241,0.998924650963897,20,True,1.370813370963844,120000,2.3796891998354113
B,circular,leapfrog,400,0.011107207345395916,1.5214580817435323e-08,5.711209283276732e-12,0.9999978838412901,0.017093474556408184,120000,False,2.5435497830677153e-14,240000,4.546448202556348
B,circular,rk4,400,0.011107207345395916,5.007493064645986e-08,5.007493064645986e-08,2.0000344724294,1.0000001044041478,120000,False,2.503746416250397e-08,480000,10.730658600659808
B,eccentric,euler,400,0.011107207345395916,1.0090328445177839,1.0080436453140766,0.9990200370437791,nan,1,True,0.5841929310438176,120000,2.40132799957064
B,eccentric,leapfrog,400,0.011107207345395916,0.0006710005124586079,0.0006606978227530199,1.0000000036854082,0.0026958566743982434,120000,False,6.019115536393229e-14,240000,4.494985596495098
B,eccentric,rk4,400,0.011107207345395916,8.752410903811733e-06,8.697523919742874e-06,1.9873103397930625,0.8961309604208569,120000,False,1.345633238522875e-06,480000,10.645431401077076
C,circular,leapfrog,200,0.022214414690791832,2.431628249865981e-07,1.4656756919251283e-09,0.9999999817369613,0.016602080563428524,60000,False,3.0930821436070366e-14,120000,2.2544931015436305
C,circular,leapfrog,800,0.005553603672697958,9.513803078675667e-10,2.130517984255676e-13,1.0001519613163912,0.017437387252613172,240000,False,1.0519619473181292e-13,480000,8.910694802747457
C,circular,rk4,200,0.022214414690791832,1.6026495259779954e-06,1.6026495259779954e-06,2.000074663775033,1.0000019961789586,60000,False,8.013237999019151e-07,240000,5.368340500164777
C,circular,rk4,800,0.005553603672697958,1.56470703061018e-09,1.56470703061018e-09,1.9999625369628204,1.0000770822144807,240000,False,7.823533637659989e-10,960000,21.2631339001382
C,eccentric,leapfrog,200,0.022214414690791832,0.002689383480537709,0.002680540380878059,1.0000000000299705,0.002388991594913498,60000,False,2.882648705682299e-14,120000,2.2656036024854984
C,eccentric,leapfrog,800,0.005553603672697958,0.00016766634424536511,0.00015230927857245996,0.9999999994914595,0.0028907206725300436,240000,False,8.466647456312162e-14,480000,8.959747785702348
C,eccentric,rk4,200,0.022214414690791832,0.0002792582460124925,0.0002792582460124925,2.000488534620122,0.9340799975693468,60000,False,4.3093971328966304e-05,240000,5.327762299915776
C,eccentric,rk4,800,0.005553603672697958,2.7580825245898655e-07,2.718740814700026e-07,1.9718676983440584,0.8398772855989283,240000,False,4.205493060253076e-08,960000,21.249291502434062
